Size,Built In ,Bubble,Merge
100,1.66e-05,8.5e-05,0.0002182
100,1.98e-05,0.0001061,0.0002209
100,1.61e-05,7.72e-05,0.0002252
200,3.51e-05,0.0003525,0.000525
200,3.51e-05,0.0003431,0.0004243
200,3.52e-05,0.000375,0.0004553
300,6.06e-05,0.0008458,0.0007082
300,5.28e-05,0.0013479,0.0006212
300,5.61e-05,0.0008114,0.0006258
400,7.25e-05,0.001451,0.0008444
400,0.0001472,0.0014056,0.0008831
400,7.7e-05,0.0014305,0.0014489
500,0.0001002,0.0022126,0.0012011
500,0.0001557,0.0021483,0.0011258
500,9.93e-05,0.0022686,0.0011884
600,0.00028,0.0037077,0.0017166
600,0.0001202,0.0031162,0.0014534
600,0.0001165,0.0039503,0.001321
700,0.0001446,0.0043167,0.001533
700,0.0001922,0.004365,0.001646
700,0.0001448,0.0042245,0.0016398
800,0.0001702,0.0056781,0.0017906
800,0.0001631,0.005624,0.0018289
800,0.0001633,0.0056602,0.0018525
900,0.0001923,0.0074874,0.0020931
900,0.0001925,0.0072426,0.0020145
900,0.0001922,0.0073375,0.0019016
1000,0.0002114,0.0087912,0.0028382
1000,0.0002127,0.0090156,0.0021499
1000,0.0002169,0.0086915,0.0021775
1100,0.0002454,0.0105534,0.0025155
1100,0.0002442,0.0115037,0.0023532
1100,0.000241,0.0108971,0.0023188
1200,0.0002588,0.0125264,0.0028747
1200,0.0002618,0.0130019,0.0026818
1200,0.0002595,0.0129527,0.0026272
1300,0.0002841,0.0149791,0.0028761
1300,0.0003015,0.0150678,0.0027694
1300,0.0002893,0.0150589,0.0027762
1400,0.0003162,0.0179317,0.003209
1400,0.0003648,0.0171178,0.0031254
1400,0.0003106,0.0179974,0.0030003
1500,0.000341,0.0196099,0.0031805
1500,0.0003413,0.0200411,0.0037855
1500,0.0003398,0.0199367,0.0038196
1600,0.0003799,0.0223984,0.0035597
1600,0.0003586,0.0225787,0.0034563
1600,0.0003633,0.0222835,0.003692
1700,0.0003939,0.0256879,0.0036796
1700,0.000392,0.0268122,0.0035712
1700,0.0004023,0.0257542,0.0040049
1800,0.0004233,0.0284337,0.003974
1800,0.0004331,0.0294824,0.0039162
1800,0.0004191,0.0289858,0.0039722
1900,0.0004454,0.0322364,0.004038
1900,0.0004471,0.0321352,0.0040774
1900,0.0004401,0.0318346,0.0040819
2000,0.0004725,0.0358374,0.0042705
2000,0.0004799,0.0364426,0.0045229
2000,0.0004796,0.0360317,0.0047839
2100,0.0005184,0.0386361,0.0044477
2100,0.0004912,0.0404482,0.0049052
2100,0.0005496,0.0390413,0.0048033
2200,0.0005321,0.0421371,0.0048945
2200,0.0005497,0.0452956,0.0054297
2200,0.0005211,0.0425885,0.0048772
2300,0.0006468,0.0468189,0.0049349
2300,0.0005774,0.0512961,0.0056342
2300,0.0005508,0.0460078,0.0049013
2400,0.0005743,0.0505965,0.0051255
2400,0.0005664,0.0504319,0.0052245
